,Image_names,cell_type,xmin,xmax,ymin,ymax
0,1.jpg,WBC,260,491,177,376
1,1.jpg,RBC,78,184,336,435
2,1.jpg,RBC,63,169,237,336
3,1.jpg,RBC,214,320,362,461
4,1.jpg,RBC,414,506,352,445
5,1.jpg,RBC,555,640,356,455
6,1.jpg,RBC,469,567,412,480
7,1.jpg,RBC,1,87,333,437
8,1.jpg,RBC,4,95,406,480
9,1.jpg,RBC,155,247,74,174
10,1.jpg,RBC,11,104,84,162
11,1.jpg,RBC,534,639,39,139
12,1.jpg,RBC,547,640,195,295
13,1.jpg,RBC,388,481,11,111
14,1.jpg,RBC,171,264,175,275
15,1.jpg,RBC,260,374,1,83
16,1.jpg,RBC,229,343,91,174
17,1.jpg,RBC,69,184,144,235
18,1.jpg,RBC,482,594,131,230
19,1.jpg,RBC,368,464,89,176
20,10.jpg,WBC,23,255,137,423
21,10.jpg,RBC,441,575,324,423
22,10.jpg,RBC,372,468,192,279
23,10.jpg,RBC,305,401,213,300
24,10.jpg,RBC,226,324,288,439
25,10.jpg,RBC,313,408,318,414
26,10.jpg,RBC,282,377,384,480
27,10.jpg,RBC,446,567,97,206
28,10.jpg,RBC,440,561,1,96
29,10.jpg,RBC,214,331,107,198
30,10.jpg,RBC,298,435,85,211
31,10.jpg,RBC,7,133,76,197
32,10.jpg,RBC,1,115,1,94
33,10.jpg,RBC,286,394,1,65
34,10.jpg,RBC,154,289,13,127
35,10.jpg,Platelets,452,493,415,449
36,10.jpg,RBC,479,575,155,242
37,10.jpg,RBC,135,231,393,480
38,100.jpg,RBC,381,475,191,287
39,100.jpg,RBC,144,255,150,249
40,100.jpg,RBC,115,226,214,332
41,100.jpg,RBC,410,521,244,362
42,100.jpg,RBC,508,601,128,239
43,100.jpg,RBC,433,534,12,121
44,100.jpg,RBC,539,640,359,468
45,100.jpg,RBC,545,640,263,357
46,100.jpg,RBC,52,147,330,424
47,100.jpg,RBC,291,408,22,112
48,100.jpg,RBC,225,343,361,460
49,100.jpg,RBC,384,502,401,480
50,100.jpg,RBC,27,140,1,67
51,100.jpg,RBC,536,640,1,77
52,100.jpg,RBC,137,232,338,448
53,100.jpg,WBC,224,384,229,345
54,100.jpg,Platelets,336,368,156,184
55,100.jpg,Platelets,385,418,66,97
56,101.jpg,RBC,229,342,238,330
57,101.jpg,RBC,152,268,146,257
58,101.jpg,RBC,150,266,144,255
59,101.jpg,RBC,70,179,197,300
60,101.jpg,RBC,7,103,1,82
61,101.jpg,RBC,469,573,28,121
62,101.jpg,RBC,494,596,137,237
63,101.jpg,RBC,27,111,305,395
64,101.jpg,RBC,45,129,105,195
65,101.jpg,RBC,32,116,191,281
66,101.jpg,RBC,339,405,262,367
67,101.jpg,RBC,368,460,59,146
68,101.jpg,RBC,415,516,140,226
69,101.jpg,RBC,344,445,412,479
70,101.jpg,RBC,144,234,250,348
71,101.jpg,WBC,398,590,228,431
72,101.jpg,Platelets,306,347,383,421
73,102.jpg,RBC,122,243,270,377
74,102.jpg,RBC,2,123,128,235
75,102.jpg,RBC,240,361,39,146
76,102.jpg,RBC,354,462,79,179
77,102.jpg,RBC,437,545,43,143
78,102.jpg,RBC,484,591,128,230
79,102.jpg,RBC,118,221,1,93
80,102.jpg,RBC,229,349,165,255
81,102.jpg,RBC,545,640,41,136
82,102.jpg,RBC,313,424,196,290
83,102.jpg,RBC,206,316,223,329
84,102.jpg,RBC,181,276,338,438
85,102.jpg,RBC,440,574,227,295
86,102.jpg,WBC,364,521,289,432
87,102.jpg,Platelets,271,308,413,447
88,102.jpg,Platelets,543,574,349,378
89,104.jpg,RBC,349,499,120,206
90,104.jpg,RBC,343,437,272,357
91,104.jpg,RBC,184,283,292,378
92,104.jpg,RBC,253,352,240,326
93,104.jpg,RBC,408,505,282,393
94,104.jpg,RBC,143,240,189,290
95,104.jpg,RBC,305,404,43,129
96,104.jpg,RBC,373,472,21,107
97,104.jpg,RBC,458,559,50,160
98,104.jpg,RBC,1,94,197,285
99,104.jpg,RBC,1,70,2,103
100,104.jpg,RBC,8,110,386,462
101,104.jpg,RBC,558,640,167,251
102,104.jpg,RBC,558,640,319,403
103,104.jpg,RBC,479,577,415,480
104,104.jpg,RBC,101,201,120,224
105,104.jpg,WBC,135,281,1,104
106,104.jpg,Platelets,45,74,185,211
107,105.jpg,RBC,430,514,82,162
108,105.jpg,RBC,474,559,1,70
109,105.jpg,RBC,406,494,1,60
110,105.jpg,RBC,413,507,166,265
111,105.jpg,RBC,342,429,25,110
112,105.jpg,RBC,33,123,158,258
113,105.jpg,RBC,178,286,177,286
114,105.jpg,RBC,88,188,277,381
115,105.jpg,RBC,61,157,341,435
116,105.jpg,RBC,83,190,16,117
117,105.jpg,RBC,521,637,379,480
118,105.jpg,RBC,490,591,113,215
119,105.jpg,RBC,496,578,245,343
120,105.jpg,RBC,494,576,243,341
121,105.jpg,Platelets,174,217,393,441
122,105.jpg,WBC,259,492,259,464
123,107.jpg,RBC,82,214,1,79
124,107.jpg,RBC,316,404,130,238
125,107.jpg,RBC,281,372,246,339
126,107.jpg,RBC,395,486,4,96
127,107.jpg,RBC,409,505,356,448
128,107.jpg,RBC,559,640,160,253
129,107.jpg,RBC,524,605,26,119
130,107.jpg,RBC,490,580,395,477
131,107.jpg,RBC,46,134,295,408
132,107.jpg,RBC,95,190,99,202
133,107.jpg,RBC,185,276,86,171
134,107.jpg,RBC,98,211,196,299
135,107.jpg,RBC,187,272,267,360
136,107.jpg,RBC,210,301,321,411
137,107.jpg,RBC,131,238,346,446
138,107.jpg,WBC,374,549,181,334
139,107.jpg,Platelets,249,288,406,447
140,108.jpg,RBC,298,416,22,130
141,108.jpg,RBC,331,449,310,418
142,108.jpg,RBC,263,347,150,231
143,108.jpg,RBC,204,301,1,105
144,108.jpg,RBC,11,94,89,177
145,108.jpg,RBC,106,189,208,296
146,108.jpg,RBC,10,93,318,406
147,108.jpg,RBC,527,610,124,212
148,108.jpg,RBC,528,639,260,371
149,108.jpg,RBC,428,552,368,480
150,108.jpg,RBC,44,134,149,234
151,108.jpg,RBC,102,196,40,122
152,108.jpg,Platelets,347,391,206,243
153,108.jpg,WBC,157,309,282,435
154,109.jpg,RBC,339,429,83,166
155,109.jpg,RBC,283,374,42,129
156,109.jpg,RBC,285,383,181,287
157,109.jpg,RBC,187,285,217,310
158,109.jpg,RBC,401,512,170,279
159,109.jpg,RBC,496,609,219,336
160,109.jpg,RBC,438,540,261,375
161,109.jpg,RBC,530,632,99,213
162,109.jpg,RBC,62,164,217,331
163,109.jpg,RBC,1,77,154,266
164,109.jpg,RBC,160,272,99,211
165,109.jpg,RBC,344,449,1,58
166,109.jpg,RBC,452,557,1,58
167,109.jpg,RBC,185,276,429,480
168,109.jpg,WBC,247,436,295,449
169,109.jpg,Platelets,1,25,41,82
170,11.jpg,WBC,23,204,229,421
171,11.jpg,WBC,239,510,253,470
172,11.jpg,RBC,167,269,212,331
173,11.jpg,RBC,69,170,138,243
174,11.jpg,RBC,43,126,84,171
175,11.jpg,RBC,275,358,166,253
176,11.jpg,RBC,311,394,179,266
177,11.jpg,RBC,267,350,69,156
178,11.jpg,RBC,307,390,75,162
179,11.jpg,RBC,339,422,80,167
180,11.jpg,RBC,456,550,1,68
181,11.jpg,RBC,314,429,1,69
182,11.jpg,RBC,200,310,1,43
183,11.jpg,RBC,16,100,1,79
184,11.jpg,RBC,406,538,80,185
